symbol,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
HAPU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPL,1,3,1.5,0.5,0.5,0,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPL,2.45,1.65,1,0,0,0,0.5,0,0,0,0.5,1,2,1,4,1,0.5,1.5,1.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAHA,,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGAL,3.5,3.5,7,5,4,0,5,7.5,5,45,2,13.5,0,7.5,3,3,1,5,3,2.5,1.5,1.5,0,0,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVAL,2.6,3.75,10,4.45,3.5,0,0,1,0,0,0,1,3.5,6,5,4,1,3.5,5.5,3.5,2,2.5,1.5,1,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA,,0,0,0,0,0,0,0,0,0,0,0,2.5,2,10,3,1,3,3,1,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAL,0,0.2,0,0.16,0.12,0.1,0,0,0.15,0,0,0.025,0.1,0.075,0.05,0,1,1,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1.5,1,0,1.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPRH,,0,0,0,0,0,0,0,0,0.6,0,1.58,0,1.25,0,0,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMU,15,13,14,10,8.5,0,8.5,14,7.5,0,2,10.5,0,4.5,1.7,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPL,7.15,9.5,31.35,5.65,8.25,0,6,6.5,2,0,3,0,3,2.5,0,2.5,0,1.25,2.5,2.5,1.5,1.5,0.75,0.75,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDPL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATA,10.7,15,10,14,6,3,2,1,1.5,0.75,1.45,0.5,0.75,0.35,0.85,2.75,0,2.5,1.5,1.25,1,0.75,0,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPWR,1,1.25,3,0,2,0,10.5,2,0,0.7,0,0.75,1.4,2,1.3,0.99,1.08,1.12,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPFL,0.7,1.4,0,1,1,0.8,0,0.35,0.8,0,0,0.1,0,0,0.5,0.59,0,5.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIOC,5,5,4,2.25,0.85,0.75,0.75,0.65,1.25,1.25,1,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGL,,0,0,0,0,0,0,0,0,1,2,2,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVEF,,0,0,0,0.35,0.35,0.65,0.4,0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEL,,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAP,0.2,0.2,0,0.2,0.26,0.22,0.16,0.13,0.15,0.15,0.3,0,0.1,0.15,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPEL,0.75,1.75,0.5,1.05,1,0.7,0.7,0.7,0.8,1,1,0.6,0.25,0.25,0.2,0.25,0.41,0.57,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLL,1.7,0.36,0.2,0.3,0.1,0.23,0.15,0.2,0.1,0.225,0.175,0.075,0.1,0.075,0.2,1.5,0.6,0.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIND,1,1,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIY,0.45,0.45,0.7,0.23,0.13,0.05,0.3,0.25,0.2,0,0.3,0.38,0.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPRT,,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,10,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBL,,0.44,0.68,0.36,0.35,0.08,0.35,0.325,0.175,0.125,0.25,0.25,0.17,0.25,0.2,0.15,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKL,2.6,2.9,2.95,0,3.29,0,2,2.3,2,1,3.75,3.4,3.5,4,5,5,5,3.5,11.45,2.25,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZOO,,0.1,0.2,0.2,0.2,0.1,0.13,0.13,0,0,0,0,0,0,5,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPRT,,6,5,2,1.75,2.25,2,1.5,1.25,1,1.2,1,0.75,1,0,0,0,0,0.5,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,2.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA,,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBCR,1.5,1.5,1,0.5,1,18,12,36,36,30,20,12.5,10,10,10,3,2.5,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEST,3.25,3,7,0,0,0,1.25,0,15,1,9,5,4,3,1.5,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNT,,0,5,15.41,10,0,2.25,2.25,3.75,5,4,0,0,2.25,1.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHAR,,0,0,0,50,0,30,15,0,10,5,0,0,0,0,4.25,3.75,3.75,2.5,2.5,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAL,,1,1.34,0,1.24,0.74,0.53,0.37,0.46,0.39,0.32,0.13,0.29,0.33,0.25,0.2,0,0,0.55,0.55,0.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLTL,,0.25,0,0.25,2.02,1.49,1.06,1.06,0.89,0.89,0.89,0.89,0.85,0.85,0.85,0.6,0.25,1,1,1,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRWN,,0,0,0,0,0,0,0,0.5,0.3,2.65,0,0.5,1.32,1.32,0,0,17.2,1.6,1.6,0.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWM,8,8,12,10,7,0,3.5,3.5,3.5,3.5,3,3,3,2,1,,1,0.75,0.75,1,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFT,,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMER,0,0,0,0.15,0,0,0,0,0,0,0.06,0,0,0.08,3,3,2.85,6.5,3.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFEQ,0,0,10,0,0,0,0,1.5,1,1.25,0,32.5,30,30,30,12.5,15,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINS,0.98,0,0,1.05,1.55,0.25,0.65,0,2.2,8.8,4.2,2.5,2.5,0,7.5,4.5,0,4,2,2.5,2.5,2.5,3.5,4.5,3.7,4,4,6.75,3.75,3.5,3.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKME,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
