symbol,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
MCPL,,2,1.5,2.5,2.25,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEST,,0,0,120,55,55,47.5,50,50,80,64.5,68.5,60,54,47.5,34.5,30,30,25,25,22,8.5,8.9,3.25,1.8,8.5,9.2,7.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWSL,,0.15,0.2,0.15,0.1,0.1,0.05,0.1,0.15,0.1,0,0.1,0,0,0.12,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAL,,0,0.1,0.2,0,0.12,0.12,0,0.12,0.12,0.12,0.1,0.1,0.14,0.1,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSML,0.21,0,6.67,1,1.5,0,1.7,2,1.7,0.5,0.5,1,1,1,8,9,8,6.5,6,4.5,6.5,2.5,1,2.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LION,46,43.5,41.9,20.93,14.4,8,10,4,0,3,4,4,4,4,4,3,0,0,3,3,3,3,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAFL,,55,28,0,10,22,5.5,4.5,3,4,2.1,0.52,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHMX,7.5,2.5,2.5,2,1,2,2,2,3,2,1,1,1,1.5,2,2.5,10,1.67,1.33,1.17,1.17,3,2.6,2.5,2.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIC,2.5,2.5,2.5,2,1,2,1,1,2,4,3,0,1.63,3.2,2.75,1.85,1.5,1.5,1.44,4.75,4.75,4.75,4.25,4,4,3.75,3.5,2.5,4,4,4,4,3.5,4,3.25,3,2.5,2.75,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,2,2,2,2,2
HAYC,3.8,5,6.25,2.7,24.9,15,8,6,6,6,6,6,7,5.5,5,5,2.75,2.5,1,0,1.5,1.5,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPH,,0,0,0,0,0,4.5,4.5,0,0,4.5,3,2,3,3,2.5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORI,,0,0,0,0,0,0,15,15,10,4,3,2,3.5,40,16.5,11,10.4,8,6,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCEY,,0,10,0,0,0,0,0,0,0,0,0,1.5,2.5,2.5,2.25,2,1.8,1.5,1.5,1.5,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITE,1.5,1.5,2,0.75,1,1,0.25,0.77,0.77,0.55,0.25,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULL,,0,0,0,0,0,0,0.05,0.07,0.07,0.07,0.05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCP,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SING,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCAR,,63,45,32,25,29,21,13,13,19,17,14,11,11,11,11,10,8.5,7.5,7.5,7.5,7.5,7.5,7.5,5,3.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXT,,0,0.6,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEL,2,1.5,0,1,1,0.25,0.75,1,1.2,1,0.75,0.75,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCK,,0,0,1,1,0,0,1.5,1.5,0,0,3,4,8,6,8,8,7,3,3,0.8,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDEV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUMX,,0.25,0.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPI,,0,0,0,0,0,0,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCHH,,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINV,,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEN,,4.25,4,4,1,1.25,2.5,2,1.75,1.5,2,2,1.5,1.4,1.00*,10,9.5,7,6.5,6.5,6,6,4.5,4,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAP,,0,0,0,0,0,0.36,0,0,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIL,,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARS,3.84,6.8,1.5,1.5,0.75,0.75,1,2,0,1.5,3,2,2,2,2,2,1.5,3,2.5,2.5,10,5,5,5,5,10,7.5,7.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTHR,14,12,8.45,4.55,4.35,4.6,5.5,5.5,5.2,3.8,3.4,8.3,2.3,2.05,1.5,0.7,0.15,8,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSEC,,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREG,,1.7,0,3,0,0,0,1.25,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPO,,3.48,8.19,1.17,0.5,0,0.15,0.15,0.15,0.12,0,0.33,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFIN,,0,0,0,0,0,0,0,0,0,3,3,2.5,5,3.5,4.5,4.5,3.5,3,10.3,3,2,0.5,0.5,0.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLCH,,0,0,0,0,0,0,0.4,0.05,0,0,0.05,0.15,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAYL,6,5.35,5.35,4,4,0,5,5,7.5,6.5,6,5,4.5,4,4,4,3,3,3.5,3.5,3.5,3.5,3.5,3.5,35,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHL,1.7,3.4,2.35,4.85,1.85,0,3.48,1.85,1.85,1.4,1.1,1,0.75,0.5,0.7,1.8,1.25,1.25,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKH,0.15,1.5,2,1.5,2,2.5,6.45,6,6,7,3.5,3.5,3.5,3.5,3,3,3,5,3,3,3,2.5,2,2,3,3,4,4,3,2.8,3.5,2.5,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
MELS,5.6,8.27,6.76,5.4,5.25,2,0,2.44,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICH,1.3,0.5,0.7,0.6,1,0,0.6,0.6,1.1,0.5,0.25,0.45,0.2,0.7,0.3,1,0,0,0.5,1.5,3.5,3,2,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHL,,0,0,0,0,0,0.5,0.5,0.65,0.5,0,0.155,0.3,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUN,2.1,3,1.15,1,1,0.75,1.25,1.5,1.75,1.05,0.95,0.95,0.5,0.3,0.3,0.3,2.5,2.5,1.5,1.5,2.5,2.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFLB,,0,0.25,0,0,0,0,0.15,0.15,0.3,0.3,0.3,0.3,0.3,0.2,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VONE,3,1,0,1.5,3.5,0,0,0.5,0.5,0.5,0.4,0.7,0,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLPL,,0,0,0,0,0,0,7.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0.65,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGT,1.85,2.5,1.6,2.1,1.05,0.6,0,0,0,0,0,0,0,0,0,2.5,2,6.4,4.6,4,4.5,5,3.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURU,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
